"Detector","x","y"
1,4116541.67294533,-3288955.92060154
2,4088869.36307365,-3318232.76670609
3,4098721.21737125,-3321331.77238705
4,4101909.66385931,-3323524.34960552
5,4104695.87297258,-3325803.72781427
6,4105897.41592656,-3322392.79829889
7,4102985.00266891,-3320301.03484846
8,4103952.59663642,-3316474.07287658
9,4098893.74132578,-3304794.19019337
10,4101778.85518605,-3303367.90076302
11,4105247.23923434,-3301901.82794951
12,4119100.11657621,-3297282.77676809
13,4109642.59230996,-3300727.73709215
14,4112900.11863604,-3302694.31355748
15,4110760.87674389,-3305582.62198787
16,4110119.62221363,-3319271.47114791
17,4108893.06915415,-3315569.83200285
18,4108035.28926856,-3312339.23313282
19,4104890.93570977,-3310094.60199217
20,4102209.58808493,-3307349.56065066
21,4117274.99237697,-3293178.09072638
22,4116450.54988153,-3293691.85551189
23,4098377.5185996,-3317428.70531935
24,4113626.7474643,-3294885.62004418
25,4110888.34900805,-3297139.6523873
26,4098410.19715657,-3314280.00372255
27,4097754.57185625,-3310588.72362075
28,4096887.51018884,-3307597.53326684
29,4094117.33539981,-3309891.39062487
30,4092261.36843697,-3313028.35802926
31,4090261.46722613,-3315450.81659089
32,4085346.16219744,-3284699.7739267
33,4097559.8370907,-3288222.6509218
34,4100756.98853198,-3264387.65133022
35,4087334.15715332,-3264628.9786859
36,4094396.97208896,-3287189.23057335
37,4091340.05389943,-3265765.2775065
38,4080824.71842819,-3275823.11880085
39,4086074.10264472,-3267690.22227357
40,4091715.42294719,-3275822.21238241
41,4084822.80206894,-3287897.5988737
42,4090211.07294297,-3271244.46592071
43,4093184.60359287,-3283322.56806724
44,4082387.96510368,-3273034.70317734
45,4098384.55360529,-3278975.76951109
46,4088998.22352087,-3272711.95188821
47,4093943.23550978,-3290140.30820193
48,4088706.58082857,-3283638.79663835
49,4089056.74019244,-3288670.80145091
50,4083732.92175994,-3278065.55138739
51,4088826.4164046,-3278163.45585404
52,4093624.8616477,-3293168.49094728
53,4086267.46283682,-3270815.87879597
54,4090356.68467528,-3261619.61909085
55,4096899.4777547,-3264118.86237558
56,4085291.62816452,-3274091.59454422
57,4086515.19920969,-3276591.0106288
58,4088915.99845517,-3268322.08452472
59,4093657.59275561,-3263734.88278889
60,4090360.17275198,-3292069.66798813
61,4092526.83667655,-3279878.66932492
62,4089161.01657416,-3280229.53546333
